Term,Score,Polarity,isAcquired,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
awful,1,NEG,N,,,,,,,,,,,,,,,,,,,,
awfully,1,NEG,N,,,,,,,,,,,,,,,,,,,,
awfulness,1,NEG,N,,,,,,,,,,,,,,,,,,,,
awkward,1,NEG,N,,,,,,,,,,,,,,,,,,,,
awkwardness,1,NEG,N,,,,,,,,,,,,,,,,,,,,
awsome,1,POS,N,,,,,,,,,,,,,,,,,,,,
ax,1,NEG,N,,,,,,,,,,,,,,,,,,,,
babble,1,NEG,N,,,,,,,,,,,,,,,,,,,,
backache,1,NEG,N,,,,,,,,,,,,,,,,,,,,
backaches,1,NEG,N,,,,,,,,,,,,,,,,,,,,
backaching,1,NEG,N,,,,,,,,,,,,,,,,,,,,
backbite,1,NEG,N,,,,,,,,,,,,,,,,,,,,
backbiting,1,NEG,N,,,,,,,,,,,,,,,,,,,,
backbone,1,POS,N,,,,,,,,,,,,,,,,,,,,
back-logged,1,NEG,N,,,,,,,,,,,,,,,,,,,,
backward,1,NEG,N,,,,,,,,,,,,,,,,,,,,
backwardness,1,NEG,N,,,,,,,,,,,,,,,,,,,,
backwood,1,NEG,N,,,,,,,,,,,,,,,,,,,,
back-wood,1,NEG,N,,,,,,,,,,,,,,,,,,,,
backwoods,1,NEG,N,,,,,,,,,,,,,,,,,,,,
back-woods,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bad,1,NEG,N,,,,,,,,,,,,,,,,,,,,
badly,1,NEG,N,,,,,,,,,,,,,,,,,,,,
baffle,1,NEG,N,,,,,,,,,,,,,,,,,,,,
baffled,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bafflement,1,NEG,N,,,,,,,,,,,,,,,,,,,,
baffling,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bait,1,NEG,N,,,,,,,,,,,,,,,,,,,,
balanced,1,POS,N,,,,,,,,,,,,,,,,,,,,
balk,1,NEG,N,,,,,,,,,,,,,,,,,,,,
banal,1,NEG,N,,,,,,,,,,,,,,,,,,,,
banalize,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bane,1,NEG,N,,,,,,,,,,,,,,,,,,,,
banish,1,NEG,N,,,,,,,,,,,,,,,,,,,,
banishment,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bankrupt,1,NEG,N,,,,,,,,,,,,,,,,,,,,
barbarian,1,NEG,N,,,,,,,,,,,,,,,,,,,,
barbaric,1,NEG,N,,,,,,,,,,,,,,,,,,,,
barbarically,1,NEG,N,,,,,,,,,,,,,,,,,,,,
barbarity,1,NEG,N,,,,,,,,,,,,,,,,,,,,
barbarous,1,NEG,N,,,,,,,,,,,,,,,,,,,,
barbarously,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bargain,1,POS,N,,,,,,,,,,,,,,,,,,,,
barren,1,NEG,N,,,,,,,,,,,,,,,,,,,,
baseless,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bash,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bashed,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bashful,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bashing,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bastard,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bastards,1,NEG,N,,,,,,,,,,,,,,,,,,,,
battered,1,NEG,N,,,,,,,,,,,,,,,,,,,,
battering,1,NEG,N,,,,,,,,,,,,,,,,,,,,
batty,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bearish,1,NEG,N,,,,,,,,,,,,,,,,,,,,
beastly,1,NEG,N,,,,,,,,,,,,,,,,,,,,
beauteous,1,POS,N,,,,,,,,,,,,,,,,,,,,
beautiful,1,POS,N,,,,,,,,,,,,,,,,,,,,
beautifullly,1,POS,N,,,,,,,,,,,,,,,,,,,,
beautifully,1,POS,N,,,,,,,,,,,,,,,,,,,,
beautify,1,POS,N,,,,,,,,,,,,,,,,,,,,
beauty,1,POS,N,,,,,,,,,,,,,,,,,,,,
beckon,1,POS,N,,,,,,,,,,,,,,,,,,,,
beckoned,1,POS,N,,,,,,,,,,,,,,,,,,,,
beckoning,1,POS,N,,,,,,,,,,,,,,,,,,,,
beckons,1,POS,N,,,,,,,,,,,,,,,,,,,,
bedlam,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bedlamite,1,NEG,N,,,,,,,,,,,,,,,,,,,,
befoul,1,NEG,N,,,,,,,,,,,,,,,,,,,,
beg,1,NEG,N,,,,,,,,,,,,,,,,,,,,
beggar,1,NEG,N,,,,,,,,,,,,,,,,,,,,
beggarly,1,NEG,N,,,,,,,,,,,,,,,,,,,,
begging,1,NEG,N,,,,,,,,,,,,,,,,,,,,
beguile,1,NEG,N,,,,,,,,,,,,,,,,,,,,
belabor,1,NEG,N,,,,,,,,,,,,,,,,,,,,
belated,1,NEG,N,,,,,,,,,,,,,,,,,,,,
beleaguer,1,NEG,N,,,,,,,,,,,,,,,,,,,,
beleaguered,0.96602815,NEG,Y,"The wait for the 25,000-odd homebuyers of the <span class=""OP"">beleaguered</span> Jaypee Group projects is set to become longer.","Lenders are likely to consider the <span class=""OP"">beleaguered</span> wind-turbine maker's plan to sell its operations and maintenance business to pare debt.","The case which has dragged on for almost two years saw some closure when the NCLAT finally gave its approval to the ArcelorMittal's bid of Rs 42,000 crore for the <span class=""OP"">beleaguered</span> steel giant.","Essar Steel Asia Holdings Ltd (ESAHL), which owns a 72% stake in the <span class=""OP"">beleaguered</span> company, alleged on Tuesday that L.N. Mittal, ArcelorMittal's chairman and chief executive officer, had suppressed vital facts that would otherwise render him ineligible for bidding under Section 29A of the Insolvency and Bankruptcy Code (IBC).","Read more here Rs 33,000-crore tax hurdle for NBCC's bid for <span class=""OP"">beleaguered</span> Jaypee Infratech A demand to extinguish income-tax liability of Rs 33,000 crore might make state-owned infrastructure major NBCC's bid for the beleaguered Jaypee Infratech's (JIL's) projects a tough call.","Tata Steels acquisition of a heavily indebted Bhushan Steel (BSL) mill has changed the fortunes of the <span class=""OP"">beleaguered</span> facility and helped it prepay a Rs 3,000-crore loan.","They said with no visible sign of immediate recovery until the government announ-ces some stimulus package for the <span class=""OP"">beleaguered</span> auto industry across segments, things could get only worse, especially with job losses.","The company law appellate tribunal in Delhi has upheld ArcelorMittals Rs 42,500-crore bid for Essar Steel, but after modifying the distribution structure of the sale proceeds for operational and financial creditors of the <span class=""OP"">beleaguered</span> domestic metal maker.","Given the lack of activity in coalbased power generation sector due to poor financial health of companies and other challenges faced by the <span class=""OP"">beleaguered</span> sector, L&T has found new business opportunity in retrofitting of old plants with emission control equipment (FGD and SCR), but the average ticket size of orders is smaller at Rs 800 crore-Rs 1,000 crore.","Essar Steel Asia Holdings Ltd., a promoter of Essar Steel Ltd., has approached the National Company Law Appellate Tribunal opposing a bid by ArcelorMittal to purchase the <span class=""OP"">beleaguered</span> steelmaker.","India's largest commercial oil company briefly stopped supplying fuel to Jet Airways on Friday, in a sign that the woes of the <span class=""OP"">beleaguered</span> carrier are far from over.","The <span class=""OP"">beleaguered</span> company was a part of the RBIs second list of 28 stressed defaulters to be referred for resolution under the Insolvency and Bankruptcy Code.","The Supreme Court on Thursday asked the government to study the possibility of taking over <span class=""OP"">beleaguered</span> realty firm Unitech Ltd and completing its pending projects to protect the interest of the homebuyers, noting that the court lacked expertise in finance or real estate.","With more automobile firms resorting to shut down their factories and sacking temporary workers with the continuing bloodbath in the <span class=""OP"">beleaguered</span> sector, Biocon Chairperson and MD Kiran Mazumdar Shaw called for urgent measures to save jobs in the automotive sector, which represents 50 per cent of the manufacturing sector jobs in the country.","The Telecom Department has asked the <span class=""OP"">beleaguered</span> telecom company to explain the reason for shooting off threatening letters to its employees.","IDBI Bank, the biggest lender to the <span class=""OP"">beleaguered</span> realty firm, had opposed NBCCs bid saying it was conditional.",,,,
belie,1,NEG,N,,,,,,,,,,,,,,,,,,,,
believable,1,POS,N,,,,,,,,,,,,,,,,,,,,
believeable,1,POS,N,,,,,,,,,,,,,,,,,,,,
belittle,1,NEG,N,,,,,,,,,,,,,,,,,,,,
belittled,1,NEG,N,,,,,,,,,,,,,,,,,,,,
belittling,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bellicose,1,NEG,N,,,,,,,,,,,,,,,,,,,,
belligerence,1,NEG,N,,,,,,,,,,,,,,,,,,,,
belligerent,1,NEG,N,,,,,,,,,,,,,,,,,,,,
belligerently,1,NEG,N,,,,,,,,,,,,,,,,,,,,
beloved,1,POS,N,,,,,,,,,,,,,,,,,,,,
bemoan,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bemoaning,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bemused,1,NEG,N,,,,,,,,,,,,,,,,,,,,
benchmark,0.94906443,POS,Y,"The loan may be priced by adding 125-140 basis points to the three-month US dollar-linked LIBOR, a global <span class=""OP"">benchmark</span> gauge now at 2.386 per cent.","Tata Motors scrip gained 2.91 percent to close at Rs 159.15 on the BSE Thursday, on a day the <span class=""OP"">benchmark</span> rallied 1.25 percent.","With this launch, the Company has set a new <span class=""OP"">benchmark</span> in the air conditioner industry, by offering the highest number of models, providing the right match for every air conditioning requirement across residential, commercial and institutional segments.","An important <span class=""OP"">benchmark</span> set with this range of air conditioners pertains to the new 5-star inverter split AC models which not only gives a whopping 65% energy saving over 1-star fixed speed ACs, but also provides the customer with a high level of comfort since the air conditioner is designed to set temperatures in steps of half a degree (0.5°C).","19 variants in the 5-star inverter split ACs category is another <span class=""OP"">benchmark</span> being set by the Company.","Global <span class=""OP"">benchmark</span> Brent crude was trading 0.41 per cent lower at USD 69.59 per barrel.","Market <span class=""OP"">benchmark</span> BSE Sensex rose by 234 points to close at 39,131.04 on Tuesday, extending gains for the second straight day as Reliance Industries, Yes Bank, Larsen & Toubro and Infosys advanced.","Meanwhile, the global oil <span class=""OP"">benchmark</span> Brent crude futures were trading 0.36 per cent higher at USD 66.72 per barrel.","Front-month Brent crude futures, the international <span class=""OP"">benchmark</span> for oil prices, were at USD 65.86 at 0019 GMT, their lowest since March 11.","The <span class=""OP"">benchmark</span> gauge has dipped 50 basis points since May, with about $16-17 trillion debt securities yielding in negative globally.","Margin Squeeze Jet fuel and diesel are still making high positive contributions to the <span class=""OP"">benchmark</span> Singapore refining margin.",""" WorldSkills International awards Medallions of Excellence to those candidates, whose performance exceeds the global industry <span class=""OP"">benchmark</span> in a particular category.","Sambit Banerjee, Managing Director, Rolling Stock and Customer Services, for Siemens Mobility Limited, said: Submission of this detailed planning application is another important milestone in our delivery of a facility which will set a new <span class=""OP"">benchmark</span> for the UK rail industry.","At 10:53 pm, Tata Motors, Maruti, Mahindra & Mahindra and Bajaj Auto traded 5.15 per cent, 3.30 per cent, 1.93 per cent and 0.95 per cent lower, respectively, as against a 0.28 per cent fall in the <span class=""OP"">benchmark</span> Sensex index.","The S&P BSE Oil&Gas index went up 4.17 % over last one year compared to the 18.09% surge in <span class=""OP"">benchmark</span> SENSEX.","The domestic equity <span class=""OP"">benchmark</span> BSE Sensex was trading 93.06 points down at 38,974.27 on account of selling in frontline bluechip counters.","Leading alloy-maker JSW Steel is entering the dollar bond market with a <span class=""OP"">benchmark</span> issue to raise up to USD 500 million in debt, sources said on Thursday.",,,
benefactor,1,POS,N,,,,,,,,,,,,,,,,,,,,
beneficent,1,POS,N,,,,,,,,,,,,,,,,,,,,
beneficial,1,POS,N,,,,,,,,,,,,,,,,,,,,
beneficially,1,POS,N,,,,,,,,,,,,,,,,,,,,
beneficiary,1,POS,N,,,,,,,,,,,,,,,,,,,,
benefit,1,POS,N,,,,,,,,,,,,,,,,,,,,
benefits,1,POS,N,,,,,,,,,,,,,,,,,,,,
benevolence,1,POS,N,,,,,,,,,,,,,,,,,,,,
benevolent,1,POS,N,,,,,,,,,,,,,,,,,,,,
benifits,1,POS,N,,,,,,,,,,,,,,,,,,,,
bent,1,NEG,N,,,,,,,,,,,,,,,,,,,,
berate,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bereave,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bereavement,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bereft,1,NEG,N,,,,,,,,,,,,,,,,,,,,
berserk,1,NEG,N,,,,,,,,,,,,,,,,,,,,
beseech,1,NEG,N,,,,,,,,,,,,,,,,,,,,
beset,1,NEG,N,,,,,,,,,,,,,,,,,,,,
besiege,1,NEG,N,,,,,,,,,,,,,,,,,,,,
besmirch,1,NEG,N,,,,,,,,,,,,,,,,,,,,
best,1,POS,N,,,,,,,,,,,,,,,,,,,,
bestial,1,NEG,N,,,,,,,,,,,,,,,,,,,,
best-known,1,POS,N,,,,,,,,,,,,,,,,,,,,
best-performing,1,POS,N,,,,,,,,,,,,,,,,,,,,
best-selling,1,POS,N,,,,,,,,,,,,,,,,,,,,
betray,1,NEG,N,,,,,,,,,,,,,,,,,,,,
betrayal,1,NEG,N,,,,,,,,,,,,,,,,,,,,
betrayals,1,NEG,N,,,,,,,,,,,,,,,,,,,,
betrayer,1,NEG,N,,,,,,,,,,,,,,,,,,,,
betraying,1,NEG,N,,,,,,,,,,,,,,,,,,,,
betrays,1,NEG,N,,,,,,,,,,,,,,,,,,,,
better,1,POS,N,,,,,,,,,,,,,,,,,,,,
better-known,1,POS,N,,,,,,,,,,,,,,,,,,,,
better-than-expected,1,POS,N,,,,,,,,,,,,,,,,,,,,
beutifully,1,POS,N,,,,,,,,,,,,,,,,,,,,
bewail,1,NEG,N,,,,,,,,,,,,,,,,,,,,
beware,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bewilder,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bewildered,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bewildering,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bewilderingly,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bewilderment,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bewitch,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bias,1,NEG,N,,,,,,,,,,,,,,,,,,,,
biased,1,NEG,N,,,,,,,,,,,,,,,,,,,,
biases,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bicker,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bickering,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bid-rigging,1,NEG,N,,,,,,,,,,,,,,,,,,,,
biggest,0.9960798,POS,Y,"The stock was the <span class=""OP"">biggest</span> gainer on both the indices on Tuesday.","It is supplying its Terra HP charging stations to Electrify America as part of the <span class=""OP"">biggest</span> EV infrastructure project in United States history.","It is supplying its Terra HP charging stations to Electrify America as part of the <span class=""OP"">biggest</span> EV infrastructure project in United States history.","People assume it is about your RoI and of course, it is but the <span class=""OP"">biggest</span> joy of business that comes when you envision something, when you conceptualise something and it just leaps out of paper and becomes reality.","But the <span class=""OP"">biggest</span> question on the 2020 sports calendar remains the Olympics in Japan, where competition is scheduled to begin July 22.","It is the <span class=""OP"">biggest</span> football tournament for the UKs electronics design community and is quite rightly called UK Electronics Championship with a wide range of teams from Scotland, Wales, Sheffield, Cambridge, Stevenage, Swindon and, of course, Bristol participating.","ArcelorMittal (MT.AS), the worlds <span class=""OP"">biggest</span> steelmaker, has idled a series of plants across Europe.","Britains <span class=""OP"">biggest</span> steel factory, British Steel, went into compulsory liquidation in May and is subject to a provisional agreement to be sold to Chinese steelmaker Jingye, which requires regulatory approvals if it is to go ahead.","Nalanda Capital, Mindtrees <span class=""OP"">biggest</span> institutional investor with a 10.6 percent stake, is supporting the founders, Ravanan said.","Six of the 10 most valued Indian companies suffered a combined erosion of Rs 62,147.7 crore in market valuation last week, with RIL and TCS taking the <span class=""OP"">biggest</span> knocks amid a weak broader market.","RIL's Jamnagar refinery, the <span class=""OP"">biggest</span> refining complex in the world is Ambani's crown jewel.","A 15-month-long wait for Indias <span class=""OP"">biggest</span> oil and gas explorer and producer, Oil and Natural Gas Corporation Ltd (ONGC), to be recognised as the promoter of state-run oil refiner Hindustan Petroleum Corporation Ltd (HPCL), which it acquired in January 2018 through a PSU to PSU deal, took a small tentative step forward last week.","This is the <span class=""OP"">biggest</span> foreign investment in the history of Reliance and also amongst the largest foreign investments ever in India, Indias richest man Mukesh Ambani said at the companys annual general meeting in Mumbai.","State-owned Aramco, the worlds <span class=""OP"">biggest</span> oil producer, plans to boost investment in refining and petrochemicals to secure new markets for its crude and sees growth in chemicals as central to its downstream strategy to reduce risk as oil demand slows.","Reliance, controlled by Asias richest man, Mukesh Ambani, operates the worlds <span class=""OP"">biggest</span> refining complex with capacity to process 1.4 million barrels per day (bpd) of oil at Jamnagar in western India.","The stock was the <span class=""OP"">biggest</span> gainer in the BSE's 'A' group.","The stock was the second <span class=""OP"">biggest</span> gainer in 'A' group.",,,
bigotries,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bigotry,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bitch,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bitchy,1,NEG,N,,,,,,,,,,,,,,,,,,,,
biting,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bitingly,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bitter,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bitterly,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bitterness,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bizarre,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blab,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blabber,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blackmail,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blah,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blame,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blameless,1,POS,N,,,,,,,,,,,,,,,,,,,,
blameworthy,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bland,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blandish,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blaspheme,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blasphemous,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blasphemy,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blasted,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blatant,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blatantly,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blather,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bleak,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bleakly,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bleakness,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bleed,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bleeding,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bleeds,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blemish,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bless,1,POS,N,,,,,,,,,,,,,,,,,,,,
blessing,1,POS,N,,,,,,,,,,,,,,,,,,,,
blind,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blinding,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blindingly,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blindside,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bliss,1,POS,N,,,,,,,,,,,,,,,,,,,,
blissful,1,POS,N,,,,,,,,,,,,,,,,,,,,
blissfully,1,POS,N,,,,,,,,,,,,,,,,,,,,
blister,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blistering,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blithe,1,POS,N,,,,,,,,,,,,,,,,,,,,
bloated,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blockage,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blockbuster,1,POS,N,,,,,,,,,,,,,,,,,,,,
blockhead,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bloodshed,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bloodthirsty,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bloody,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bloom,1,POS,N,,,,,,,,,,,,,,,,,,,,
blossom,1,POS,N,,,,,,,,,,,,,,,,,,,,
blossoming,0.9819031,POS,Y,"The Moisture Curing Adhesive Market far and wide is a standout amongst the most <span class=""OP"">blossoming</span> and colossally sorted division involving.","The Non-phthalate Plasticizers Market far and wide is a standout amongst the most <span class=""OP"">blossoming</span> and colossally sorted division involving.","The Industrial Motor Starters Market far and wide is a standout amongst the most <span class=""OP"">blossoming</span> and colossally sorted division involving.","The Scratch Resistant Polypropylene Compound For Automotive Interior Market far and wide is a standout amongst the most <span class=""OP"">blossoming</span> and colossally sorted division involving.","The Electrically Conductive Textiles Market far and wide is a standout amongst the most <span class=""OP"">blossoming</span> and colossally sorted division involving.","The Hydraulic Actuator Market far and wide is a standout amongst the most <span class=""OP"">blossoming</span> and colossally sorted division involving.","The Silicone Defoamers Market far and wide is a standout amongst the most <span class=""OP"">blossoming</span> and colossally sorted division involving.","The Silicone Waterproofing Coating Market far and wide is a standout amongst the most <span class=""OP"">blossoming</span> and colossally sorted division involving.","The Combined Cycle Heat Recovery Steam Generator Market far and wide is a standout amongst the most <span class=""OP"">blossoming</span> and colossally sorted division involving.",,,,,,,,,,,
blotchy,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blow,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blunder,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blundering,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blunders,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blunt,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blur,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bluring,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blurred,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blurring,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blurry,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blurs,1,NEG,N,,,,,,,,,,,,,,,,,,,,
blurt,1,NEG,N,,,,,,,,,,,,,,,,,,,,
boastful,1,NEG,N,,,,,,,,,,,,,,,,,,,,
boggle,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bogus,1,NEG,N,,,,,,,,,,,,,,,,,,,,
boil,1,NEG,N,,,,,,,,,,,,,,,,,,,,
boiling,1,NEG,N,,,,,,,,,,,,,,,,,,,,
boisterous,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bold,0.99990237,POS,Y,"The smartest way to make your rooms look flawless is by opting for dark, <span class=""OP"">bold</span> shades for furnishings, upholstery, and accessories.","Doing so will make your home rich with different pastel and <span class=""OP"">bold</span> hues.","Maier said after retirement he planned to help support and promote responsible capitalism with a strong social purpose, and leadership that is authentic, <span class=""OP"">bold</span> and at the same time humble.","After a brief conversation, Erin and Janet took a <span class=""OP"">bold</span> step.","It has a sleek front fascia and <span class=""OP"">bold</span> character lines on the side profile.","New York State is leading the nation in advancing <span class=""OP"">bold</span> actions for a cleaner, greener energy system that also spurs economic growth, Governor Cuomo said in a prepared statement.","Mahindra Ltd. (M&M), a part of the US $20.7 billion Mahindra Group, today announced the launch of the <span class=""OP"">Bold</span> New TUV300, a facelift of the compact SUV.","Featuring design enhancements and new aspirational features, the <span class=""OP"">Bold</span> New TUV300 offers a compelling value proposition at Rs.","The new Headlamp Design with Daytime Running Lamps (DRLs) and carbon black finish add to the style of the <span class=""OP"">Bold</span> New TUV300.","Veejay Ram Nakra, Chief of Sales and Marketing, Automotive Division, Mahindra & Mahindra Ltd. said """"We are pleased to launch the <span class=""OP"">Bold</span> New TUV300, the facelift version of the only compact SUV with an authentic SUV design that combines the space & comfort of 7 seats with performance and hi-tech features.","Customers will have the option to choose from 7 attractive colours, including 2 new ones, Highway Red & Mystic Copper, in addition to the stylish dual tone Red + Black / Silver + Black, <span class=""OP"">Bold</span> Black, Majestic Silver and Pearl White colours.","New Features of the <span class=""OP"">Bold</span> New TUV300:","It is consistently on the lookout for <span class=""OP"">bold</span> ideas that can shape the industry and the organisations future.","Therefore, NMDC has taken a <span class=""OP"">bold</span> step by invoking the termination clause of the contract against BHEL by giving notice, it explained.","""New York State is leading the nation in advancing <span class=""OP"">bold</span> actions for a cleaner, greener energy system that also spurs economic growth,"""" Governor Cuomo said.","Assemblymember Richard N. Gottfried said, """"The selection of a bidder to design and install solar energy panels on the Javits Center, the nation's busiest convention center, shows that New York means business when it comes to taking <span class=""OP"">bold</span> steps toward a healthier environment while growing jobs through clean energy.""","Terrifying, entertaining and thrillingly ambitious, layering theme upon theme and twist upon twist, Us is a <span class=""OP"">bold</span> work of a brilliance set free, the kind of movie that a filmmaker gets to make when his or her previous title brings in more than $255 million worldwide on a budget of $4.5 million.",,,
bolster,1,POS,N,,,,,,,,,,,,,,,,,,,,
bomb,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bombard,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bombardment,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bombastic,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bondage,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bonkers,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bonny,1,POS,N,,,,,,,,,,,,,,,,,,,,
bonus,1,POS,N,,,,,,,,,,,,,,,,,,,,
bonuses,1,POS,N,,,,,,,,,,,,,,,,,,,,
boom,1,POS,N,,,,,,,,,,,,,,,,,,,,
booming,1,POS,N,,,,,,,,,,,,,,,,,,,,
boost,1,POS,N,,,,,,,,,,,,,,,,,,,,
bore,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bored,1,NEG,N,,,,,,,,,,,,,,,,,,,,
boredom,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bores,1,NEG,N,,,,,,,,,,,,,,,,,,,,
boring,1,NEG,N,,,,,,,,,,,,,,,,,,,,
botch,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bother,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bothered,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bothering,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bothers,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bothersome,1,NEG,N,,,,,,,,,,,,,,,,,,,,
boundless,1,POS,N,,,,,,,,,,,,,,,,,,,,
bountiful,1,POS,N,,,,,,,,,,,,,,,,,,,,
bowdlerize,1,NEG,N,,,,,,,,,,,,,,,,,,,,
boycott,1,NEG,N,,,,,,,,,,,,,,,,,,,,
braggart,1,NEG,N,,,,,,,,,,,,,,,,,,,,
bragger,1,NEG,N,,,,,,,,,,,,,,,,,,,,
brainiest,1,POS,N,,,,,,,,,,,,,,,,,,,,
brainless,1,NEG,N,,,,,,,,,,,,,,,,,,,,
brainwash,1,NEG,N,,,,,,,,,,,,,,,,,,,,
brainy,1,POS,N,,,,,,,,,,,,,,,,,,,,
